id_pedido,data_registro,cliente_nome,filial_origem,tipo_veiculo,valor_frete,distancia_km,tempo_estimado_horas,tempo_realizado_horas,status_pedido,motivo_ocorrencia,custo_combustivel
PED-100013,2026-04-18 22:51:00,Cliente 17,Filial São Paulo,Leve (VUC),5283.33,1099.4,1.2,9.591421523725668,Atrasado,Trânsito Intenso,1313.1
PED-100014,2026-03-05 02:36:00,Cliente 14,Filial São Paulo,Médio,0.0,1083.8,47.1,,Cancelado,Avarias no Veículo,1743.08
PED-100015,2026-02-20 06:20:00,Cliente 50,Filial São Paulo,Pesado (Tratocaminhão),5348.43,460.7,45.1,45.263929620651126,Entregue,,1693.87
PED-100016,2026-03-14 06:17:00,Cliente 57,Filial Campo Largo,Semipesado,807.56,44.6,13.9,25.025199712329645,Atrasado,Clima Adverso,2820.72
PED-100017,2026-05-12 13:49:00,Cliente 104,Filial São Paulo,Médio,3078.78,882.7,31.0,40.50048628947955,Atrasado,Clima Adverso,1184.37
PED-100018,2026-01-09 20:01:00,Cliente 39,Filial Campo Largo,Leve (VUC),1975.72,952.1,35.3,38.44158960418982,Atrasado,Problema Mecânico,2961.51
PED-100019,2026-03-25 14:59:00,Cliente 96,Filial Campo Largo,Pesado (Tratocaminhão),0.0,655.5,28.2,,Cancelado,Avarias no Veículo,1053.15
PED-100020,2026-01-08 14:34:00,Cliente 36,Filial São Paulo,Leve (VUC),2138.65,489.4,40.6,39.32560545557415,Entregue,,504.94
PED-100021,2026-03-22 03:49:00,Cliente 114,Filial Curitiba - HQ,Pesado (Tratocaminhão),1839.17,1022.8,4.7,12.082567211654883,Atrasado,Problema Mecânico,735.85
PED-100022,2026-04-14 03:01:00,Cliente 37,Filial Curitiba - HQ,Leve (VUC),7311.92,239.1,43.1,42.94941211491463,Entregue,,1393.42
PED-100023,2026-05-14 21:41:00,Cliente 14,Filial Paranaguá,Médio,2505.82,533.1,19.4,17.51335596429818,Entregue,,2019.32
PED-100024,2026-01-04 21:28:00,Cliente 123,Filial São Paulo,Semipesado,2116.71,39.1,23.6,21.90039029306687,Entregue,,1647.11
PED-100025,2026-05-26 11:33:00,Cliente 83,Filial Paranaguá,Médio,6344.12,205.2,21.9,19.529934547974207,Entregue,,1253.58
PED-100026,2026-01-14 15:14:00,Cliente 73,Filial São Paulo,Médio,3433.81,1129.6,26.0,26.18462729900334,Entregue,,1773.69
PED-100027,2026-02-09 20:15:00,Cliente 102,Filial Paranaguá,Semipesado,3450.26,697.9,29.1,27.504324981972033,Entregue,,2548.66
PED-100028,2026-03-23 14:52:00,Cliente 81,Filial Campo Largo,Pesado (Tratocaminhão),3605.13,968.7,34.4,44.14734500931935,Atrasado,Endereço Não Encontrado,2549.01
PED-100029,2026-01-24 12:40:00,Cliente 83,Filial São Paulo,Pesado (Tratocaminhão),3415.74,588.9,25.7,23.341287862157138,Entregue,,2233.44
PED-100030,2026-06-06 14:44:00,Cliente 44,Filial Curitiba - HQ,Semipesado,0.0,1003.4,33.2,,Cancelado,Avarias no Veículo,2866.86
PED-100031,2026-03-06 06:08:00,Cliente 68,Filial São Paulo,Leve (VUC),2504.38,651.4,16.9,15.662966647756875,Entregue,,1852.57
PED-100032,2026-03-29 00:43:00,Cliente 48,Filial Paranaguá,Pesado (Tratocaminhão),6673.72,15.4,45.0,43.648580927735225,Entregue,,221.44
PED-100033,2026-05-16 23:10:00,Cliente 57,Filial Paranaguá,Médio,1631.95,1080.6,4.0,9.928087597059088,Atrasado,Trânsito Intenso,1014.6
PED-100034,2026-03-22 07:34:00,Cliente 75,Filial Paranaguá,Semipesado,0.0,186.8,26.6,,Cancelado,Avarias no Veículo,1119.02
PED-100035,2026-02-02 04:41:00,Cliente 22,Filial Paranaguá,Médio,4502.03,546.2,5.1,3.851742463049634,Entregue,,1732.51
PED-100036,2026-02-10 06:08:00,Cliente 132,Filial Paranaguá,Pesado (Tratocaminhão),2905.61,577.2,21.8,22.132764694038617,Entregue,,2733.69
PED-100037,2026-03-13 11:33:00,Cliente 46,Filial Paranaguá,Semipesado,3450.71,66.2,13.1,13.400832495308176,Entregue,,2546.72
PED-100038,2026-02-02 15:54:00,Cliente 11,Filial Curitiba - HQ,Semipesado,0.0,73.2,45.0,,Cancelado,Avarias no Veículo,850.08
PED-100039,2026-05-31 23:36:00,Cliente 31,Filial Paranaguá,Pesado (Tratocaminhão),6825.42,917.4,1.6,1.0,Entregue,,1654.29
PED-100040,2026-04-09 11:39:00,Cliente 139,Filial Curitiba - HQ,Pesado (Tratocaminhão),6033.88,367.5,19.4,16.42262325735979,Entregue,,2045.62
PED-100041,2026-02-04 00:34:00,Cliente 120,Filial São Paulo,Semipesado,0.0,497.5,37.8,,Cancelado,Cancelado pelo Cliente,2965.03
PED-100042,2026-04-11 14:13:00,Cliente 56,Filial Campo Largo,Leve (VUC),7359.8,681.3,9.9,9.845940205285258,Entregue,,287.65
PED-100043,2026-05-11 00:04:00,Cliente 38,Filial Curitiba - HQ,Semipesado,3042.24,454.3,39.3,39.40812044782861,Entregue,,1498.86
PED-100044,2026-05-22 06:26:00,Cliente 21,Filial São Paulo,Leve (VUC),0.0,932.3,41.4,,Cancelado,Erro de Carga,2966.7
PED-100045,2026-05-17 14:14:00,Cliente 110,Filial Campo Largo,Médio,0.0,1062.5,34.3,,Cancelado,Erro de Carga,2936.18
PED-100046,2026-03-31 09:59:00,Cliente 94,Filial Curitiba - HQ,Leve (VUC),0.0,81.1,10.8,,Cancelado,Cancelado pelo Cliente,1126.03
PED-100047,2026-03-04 06:48:00,Cliente 138,Filial Curitiba - HQ,Leve (VUC),1082.9,766.1,13.8,13.607681780335724,Entregue,,200.05
PED-100048,2026-02-21 03:29:00,Cliente 136,Filial São Paulo,Pesado (Tratocaminhão),4940.01,388.0,8.8,14.486282818846837,Atrasado,Clima Adverso,1842.86
PED-100049,2026-05-31 06:44:00,Cliente 8,Filial Paranaguá,Semipesado,6506.55,704.1,9.7,18.037951980296324,Atrasado,Atraso no Carregamento,2627.43
PED-100050,2026-05-23 10:28:00,Cliente 72,Filial Curitiba - HQ,Médio,2332.47,585.8,2.7,1.0,Entregue,,1108.03
PED-100051,2026-02-05 12:31:00,Cliente 119,Filial Curitiba - HQ,Semipesado,5351.86,407.1,41.3,41.329581541121705,Entregue,,2815.96
PED-100052,2026-03-12 18:21:00,Cliente 34,Filial São Paulo,Leve (VUC),3299.36,122.8,25.8,26.245893251057744,Entregue,,1131.57
PED-100053,2026-01-28 01:41:00,Cliente 144,Filial Paranaguá,Leve (VUC),3398.95,675.7,16.4,15.905613924345205,Entregue,,1908.56
PED-100054,2026-02-14 20:05:00,Cliente 105,Filial Campo Largo,Leve (VUC),0.0,144.2,14.6,,Cancelado,Cancelado pelo Cliente,2221.73
PED-100055,2026-01-28 11:43:00,Cliente 141,Filial Paranaguá,Semipesado,4870.76,195.8,26.6,27.178416351905092,Entregue,,1167.16
PED-100056,2026-03-25 10:57:00,Cliente 87,Filial Paranaguá,Leve (VUC),3026.99,1178.8,16.4,15.40462984301588,Entregue,,1186.18
PED-100057,2026-04-02 06:32:00,Cliente 64,Filial São Paulo,Semipesado,0.0,386.9,41.6,,Cancelado,Avarias no Veículo,1515.99
PED-100058,2026-05-09 19:12:00,Cliente 2,Filial Paranaguá,Médio,7240.34,705.5,10.9,18.896975681959912,Atrasado,Trânsito Intenso,2538.63
PED-100059,2026-01-03 06:05:00,Cliente 109,Filial São Paulo,Médio,7045.61,334.0,42.5,40.96599855144629,Entregue,,482.38
PED-100060,2026-06-04 08:36:00,Cliente 26,Filial Campo Largo,Semipesado,1641.9,1040.0,32.2,30.67709094776566,Entregue,,1968.14
PED-100061,2026-02-20 09:43:00,Cliente 83,Filial Curitiba - HQ,Médio,599.33,347.2,46.0,46.227518874703364,Entregue,,2096.57
PED-100062,2026-06-01 14:58:00,Cliente 107,Filial Curitiba - HQ,Pesado (Tratocaminhão),3569.28,446.6,1.7,12.424865152583925,Atrasado,Clima Adverso,1762.04
PED-100063,2026-04-28 23:40:00,Cliente 69,Filial São Paulo,Leve (VUC),5602.19,734.0,3.8,4.033139833789749,Entregue,,2820.35
PED-100064,2026-04-23 16:57:00,Cliente 97,Filial São Paulo,Leve (VUC),7342.19,1045.3,24.5,23.717106245506212,Entregue,,1885.57
PED-100065,2026-02-21 11:38:00,Cliente 30,Filial Paranaguá,Leve (VUC),5983.96,981.3,43.9,42.97320580618723,Entregue,,1976.81
PED-100066,2026-05-10 02:48:00,Cliente 8,Filial Paranaguá,Pesado (Tratocaminhão),4563.85,324.0,35.3,46.691247237743724,Atrasado,Endereço Não Encontrado,1879.33
PED-100067,2026-04-11 16:55:00,Cliente 38,Filial Curitiba - HQ,Leve (VUC),684.47,997.2,30.2,35.691878486702684,Atrasado,Problema Mecânico,2221.65
PED-100068,2026-03-22 16:01:00,Cliente 81,Filial Curitiba - HQ,Semipesado,0.0,844.4,2.5,,Cancelado,Avarias no Veículo,579.15
PED-100069,2026-05-10 21:22:00,Cliente 108,Filial Curitiba - HQ,Leve (VUC),1740.02,1187.9,17.6,17.42342321565651,Entregue,,2703.97
PED-100070,2026-05-09 18:01:00,Cliente 65,Filial São Paulo,Semipesado,0.0,1123.2,17.3,,Cancelado,Avarias no Veículo,318.98
PED-100071,2026-02-22 11:25:00,Cliente 67,Filial Campo Largo,Médio,6452.51,644.4,26.5,35.5073898118752,Atrasado,Endereço Não Encontrado,1994.08
PED-100072,2026-06-09 05:31:00,Cliente 90,Filial Campo Largo,Semipesado,4463.76,902.4,13.1,22.602113731105682,Atrasado,Trânsito Intenso,1923.35
PED-100073,2026-03-09 22:10:00,Cliente 95,Filial São Paulo,Semipesado,1399.86,688.5,13.6,24.96520189050787,Atrasado,Trânsito Intenso,782.74
PED-100074,2026-05-03 16:37:00,Cliente 72,Filial Paranaguá,Semipesado,3205.8,718.0,30.2,30.96737198031204,Entregue,,313.99
PED-100075,2026-01-24 04:51:00,Cliente 43,Filial Campo Largo,Leve (VUC),1098.79,130.8,45.4,52.92999766656796,Atrasado,Trânsito Intenso,588.74
PED-100076,2026-04-08 05:21:00,Cliente 46,Filial Paranaguá,Pesado (Tratocaminhão),4966.08,12.7,32.0,32.22818159740724,Entregue,,960.68
PED-100077,2026-05-19 15:15:00,Cliente 125,Filial Curitiba - HQ,Pesado (Tratocaminhão),2476.99,67.3,32.4,33.20143631353472,Entregue,,2669.9
PED-100078,2026-04-07 08:59:00,Cliente 39,Filial Curitiba - HQ,Semipesado,6562.66,1160.3,47.4,44.896473042281045,Entregue,,2596.06
PED-100079,2026-03-11 15:28:00,Cliente 51,Filial Paranaguá,Leve (VUC),3004.57,160.3,8.2,6.799490611768096,Entregue,,378.8
PED-100080,2026-01-03 19:59:00,Cliente 4,Filial Curitiba - HQ,Pesado (Tratocaminhão),3962.44,62.8,2.6,3.170507142206971,Entregue,,1009.95
PED-100081,2026-05-27 02:18:00,Cliente 121,Filial São Paulo,Médio,944.66,378.5,36.0,33.934383935613624,Entregue,,2690.09
PED-100082,2026-05-28 06:51:00,Cliente 80,Filial Paranaguá,Médio,2429.15,709.9,21.6,19.576697635692806,Entregue,,862.65
PED-100083,2026-05-08 06:17:00,Cliente 77,Filial Paranaguá,Leve (VUC),5237.37,1138.7,21.2,21.042385435938975,Entregue,,2988.7
PED-100084,2026-04-14 00:10:00,Cliente 133,Filial Paranaguá,Médio,5653.84,842.9,11.6,11.846292433773023,Entregue,,919.15
PED-100085,2026-05-31 09:34:00,Cliente 55,Filial Campo Largo,Médio,2199.75,338.9,24.8,22.544072495442496,Entregue,,2269.52
PED-100086,2026-01-07 15:25:00,Cliente 20,Filial Paranaguá,Médio,4026.74,1127.5,21.8,27.095647326511358,Atrasado,Clima Adverso,1367.77
PED-100087,2026-04-22 19:59:00,Cliente 34,Filial Paranaguá,Pesado (Tratocaminhão),6222.72,52.9,17.2,15.455656717906844,Entregue,,581.48
PED-100088,2026-04-23 01:00:00,Cliente 122,Filial Paranaguá,Médio,3159.37,1175.1,21.8,21.49276495280001,Entregue,,914.43
PED-100089,2026-02-17 11:04:00,Cliente 109,Filial Campo Largo,Semipesado,1436.4,79.8,19.0,18.646334732186936,Entregue,,2090.33
PED-100090,2026-02-06 22:08:00,Cliente 126,Filial Curitiba - HQ,Semipesado,3523.09,907.1,45.2,43.68408941411839,Entregue,,1143.76
PED-100091,2026-04-09 18:47:00,Cliente 54,Filial Campo Largo,Médio,4704.4,63.9,47.1,44.317340946280545,Entregue,,1891.56
PED-100092,2026-05-11 19:23:00,Cliente 145,Filial São Paulo,Semipesado,0.0,1118.6,40.5,,Cancelado,Cancelado pelo Cliente,775.49
PED-100093,2026-02-23 23:32:00,Cliente 133,Filial Paranaguá,Pesado (Tratocaminhão),2939.97,139.3,47.5,46.84995587189226,Entregue,,1456.03
PED-100094,2026-06-01 19:10:00,Cliente 89,Filial São Paulo,Leve (VUC),4752.05,70.1,13.5,16.50310546891957,Atrasado,Trânsito Intenso,1634.29
PED-100095,2026-04-23 07:35:00,Cliente 146,Filial Campo Largo,Semipesado,7163.38,1068.2,40.6,40.23071617807429,Entregue,,1355.8
PED-100096,2026-04-14 19:34:00,Cliente 53,Filial Curitiba - HQ,Médio,3359.84,124.0,20.1,17.624566716976137,Entregue,,754.17
PED-100097,2026-04-22 02:24:00,Cliente 50,Filial Curitiba - HQ,Leve (VUC),1640.81,959.5,36.1,33.715273796552076,Entregue,,1492.35
PED-100098,2026-04-03 17:45:00,Cliente 72,Filial Paranaguá,Leve (VUC),4239.53,899.0,10.5,8.802868069601097,Entregue,,2140.12
PED-100099,2026-03-23 01:53:00,Cliente 141,Filial Curitiba - HQ,Médio,2500.27,722.7,39.2,38.0523056023661,Entregue,,2901.74
PED-100099,2026-03-23 01:53:00,Cliente 141,Filial Curitiba - HQ,Médio,2500.27,722.7,39.2,38.0523056023661,Entregue,,2901.74
PED-100101,2026-01-21 15:19:00,Cliente 13,Filial Campo Largo,Pesado (Tratocaminhão),0.0,1099.5,13.7,,Cancelado,Cancelado pelo Cliente,652.12
PED-100102,2026-05-08 07:06:00,Cliente 20,Filial Curitiba - HQ,Semipesado,0.0,1046.6,39.6,,Cancelado,Cancelado pelo Cliente,963.57
PED-100103,2026-05-25 00:47:00,Cliente 66,Filial Paranaguá,Semipesado,0.0,517.2,36.1,,Cancelado,Avarias no Veículo,420.71
PED-100104,2026-04-25 21:54:00,Cliente 47,Filial Paranaguá,Pesado (Tratocaminhão),1776.05,285.8,24.6,22.092728238710833,Entregue,,579.82
PED-100105,2026-01-22 13:29:00,Cliente 147,Filial Campo Largo,Leve (VUC),5861.16,334.4,32.6,31.380037303442954,Entregue,,901.91
PED-100106,2026-02-07 05:44:00,Cliente 122,Filial Curitiba - HQ,Pesado (Tratocaminhão),2109.08,272.2,9.7,14.12923556826847,Atrasado,Trânsito Intenso,758.68
PED-100107,2026-02-20 21:07:00,Cliente 54,Filial Campo Largo,Pesado (Tratocaminhão),2534.91,654.1,32.4,41.14603451159999,Atrasado,Clima Adverso,798.22
PED-100108,2026-01-27 01:20:00,Cliente 6,Filial Campo Largo,Médio,0.0,1043.6,1.4,,Cancelado,Erro de Carga,846.16
PED-100109,2026-01-30 00:27:00,Cliente 14,Filial São Paulo,Médio,6877.35,930.6,40.2,37.318681694880894,Entregue,,1041.9
PED-100110,2026-04-21 00:04:00,Cliente 132,Filial Campo Largo,Semipesado,1680.42,956.7,25.3,32.78666780302154,Atrasado,Endereço Não Encontrado,551.64
PED-100111,2026-03-02 15:18:00,Cliente 86,Filial Paranaguá,Médio,0.0,543.5,45.4,,Cancelado,Cancelado pelo Cliente,977.94
PED-100112,2026-01-04 02:48:00,Cliente 27,Filial Curitiba - HQ,Pesado (Tratocaminhão),2551.83,393.7,23.5,20.743879020709446,Entregue,,2127.55
PED-100113,2026-01-17 11:27:00,Cliente 7,Filial Curitiba - HQ,Pesado (Tratocaminhão),4572.43,911.3,21.4,20.51831459951224,Entregue,,861.92
PED-100114,2026-06-07 13:52:00,Cliente 131,Filial São Paulo,Médio,6638.24,954.0,22.2,20.710407121502552,Entregue,,681.15
PED-100115,2026-01-06 02:59:00,Cliente 2,Filial São Paulo,Médio,0.0,837.5,17.9,,Cancelado,Cancelado pelo Cliente,389.55
PED-100116,2026-02-06 23:28:00,Cliente 80,Filial Paranaguá,Médio,3404.71,48.2,8.8,9.435979699174819,Entregue,,1599.92
PED-100117,2026-02-15 20:30:00,Cliente 60,Filial São Paulo,Pesado (Tratocaminhão),2402.25,711.7,40.6,38.19121975011725,Entregue,,2557.55
PED-100118,2026-04-09 00:51:00,Cliente 24,Filial Campo Largo,Leve (VUC),0.0,423.0,19.3,,Cancelado,Erro de Carga,365.25
PED-100119,2026-06-09 22:32:00,Cliente 15,Filial Campo Largo,Leve (VUC),6019.12,243.5,25.9,26.352121573763515,Entregue,,1718.51
PED-100120,2026-03-08 17:24:00,Cliente 95,Filial Paranaguá,Médio,6192.99,836.3,1.9,1.764165345651994,Entregue,,2021.73
PED-100121,2026-02-23 02:39:00,Cliente 142,Filial Curitiba - HQ,Semipesado,2048.6,329.5,3.8,1.0,Entregue,,1858.89
PED-100122,2026-01-24 17:31:00,Cliente 134,Filial Paranaguá,Semipesado,1558.68,1096.3,29.1,27.431233275520093,Entregue,,2657.34
PED-100123,2026-03-27 22:01:00,Cliente 81,Filial São Paulo,Leve (VUC),0.0,364.7,42.3,,Cancelado,Cancelado pelo Cliente,2625.91
PED-100124,2026-05-07 09:01:00,Cliente 18,Filial Curitiba - HQ,Médio,3747.63,670.7,24.2,21.3817067246481,Entregue,,360.46
PED-100125,2026-01-17 07:32:00,Cliente 20,Filial Curitiba - HQ,Pesado (Tratocaminhão),2225.47,995.0,8.8,6.841074373531607,Entregue,,1210.64
PED-100126,2026-05-17 10:53:00,Cliente 115,Filial Curitiba - HQ,Semipesado,4079.49,488.5,6.5,3.8720839470227544,Entregue,,2078.32
PED-100127,2026-02-08 09:54:00,Cliente 40,Filial São Paulo,Semipesado,3193.96,996.1,43.3,40.591116824643606,Entregue,,2866.85
PED-100128,2026-01-26 02:49:00,Cliente 39,Filial Campo Largo,Pesado (Tratocaminhão),1976.23,871.2,34.0,43.507697499120816,Atrasado,Problema Mecânico,2453.12
PED-100129,2026-06-02 23:12:00,Cliente 32,Filial Campo Largo,Pesado (Tratocaminhão),5758.34,1105.8,46.4,45.21010317812595,Entregue,,694.45
PED-100130,2026-03-01 06:56:00,Cliente 124,Filial São Paulo,Médio,0.0,397.7,4.9,,Cancelado,Avarias no Veículo,981.78
PED-100131,2026-02-05 12:19:00,Cliente 108,Filial São Paulo,Pesado (Tratocaminhão),6092.32,135.0,43.4,43.099636639753456,Entregue,,2338.06
PED-100132,2026-03-06 07:45:00,Cliente 27,Filial Paranaguá,Pesado (Tratocaminhão),4430.12,522.1,40.7,39.013177001729126,Entregue,,1520.13
PED-100133,2026-05-24 13:11:00,Cliente 110,Filial Paranaguá,Pesado (Tratocaminhão),6324.26,945.1,43.0,53.44811694957801,Atrasado,Endereço Não Encontrado,1732.45
PED-100134,2026-04-25 22:14:00,Cliente 97,Filial Campo Largo,Leve (VUC),533.31,546.0,1.3,1.0,Entregue,,1905.14
PED-100135,2026-04-02 01:01:00,Cliente 74,Filial São Paulo,Pesado (Tratocaminhão),0.0,321.8,35.9,,Cancelado,Avarias no Veículo,489.22
PED-100136,2026-02-01 22:21:00,Cliente 17,Filial Paranaguá,Semipesado,0.0,42.8,26.8,,Cancelado,Cancelado pelo Cliente,2596.69
PED-100137,2026-02-20 21:57:00,Cliente 49,Filial São Paulo,Médio,7150.69,382.5,27.9,32.342890696391635,Atrasado,Problema Mecânico,2616.78
PED-100138,2026-02-27 21:48:00,Cliente 81,Filial São Paulo,Médio,5419.18,858.9,23.1,21.228436918977454,Entregue,,1511.07
PED-100139,2026-03-11 14:53:00,Cliente 116,Filial Campo Largo,Médio,2741.21,185.7,35.9,34.71634703641781,Entregue,,1955.17
PED-100140,2026-04-11 00:07:00,Cliente 23,Filial Campo Largo,Leve (VUC),2738.95,415.6,48.0,48.10027165410845,Entregue,,2047.73
PED-100141,2026-02-22 11:43:00,Cliente 98,Filial São Paulo,Semipesado,6530.45,34.1,34.4,33.787882333366404,Entregue,,731.22
PED-100142,2026-01-05 06:03:00,Cliente 72,Filial Curitiba - HQ,Pesado (Tratocaminhão),6819.88,868.9,32.9,31.944844036440497,Entregue,,515.24
PED-100143,2026-01-06 12:31:00,Cliente 141,Filial Curitiba - HQ,Semipesado,6741.01,1058.0,31.8,32.28651538761136,Entregue,,257.88
PED-100144,2026-04-26 14:34:00,Cliente 57,Filial São Paulo,Médio,6161.18,686.5,33.7,33.67438477405058,Entregue,,2756.07
PED-100145,2026-02-24 07:51:00,Cliente 148,Filial Campo Largo,Pesado (Tratocaminhão),6233.22,40.8,17.1,14.16218957487325,Entregue,,1168.0
PED-100146,2026-05-24 12:49:00,Cliente 86,Filial Curitiba - HQ,Médio,0.0,269.0,16.1,,Cancelado,Avarias no Veículo,440.33
PED-100147,2026-05-04 09:29:00,Cliente 23,Filial Campo Largo,Médio,697.62,531.8,37.9,45.60415381208112,Atrasado,Trânsito Intenso,1504.24
PED-100148,2026-05-27 16:55:00,Cliente 105,Filial Curitiba - HQ,Médio,1107.41,709.2,3.5,3.595869741025672,Entregue,,411.75
PED-100149,2026-03-04 18:27:00,Cliente 67,Filial São Paulo,Semipesado,5046.87,600.6,36.7,44.43447664082475,Atrasado,Trânsito Intenso,438.7
PED-100150,2026-02-27 22:25:00,Cliente 34,Filial Paranaguá,Semipesado,3308.16,1099.9,39.3,43.231087658221284,Atrasado,Endereço Não Encontrado,1568.88
PED-100151,2026-04-27 22:08:00,Cliente 33,Filial Paranaguá,Médio,4471.17,1127.0,25.5,24.262054969493953,Entregue,,1624.74
PED-100152,2026-05-20 20:00:00,Cliente 46,Filial Campo Largo,Médio,2117.54,137.5,43.8,41.06528565461268,Entregue,,1824.4
PED-100153,2026-02-27 00:46:00,Cliente 81,Filial Campo Largo,Pesado (Tratocaminhão),5045.92,174.7,23.2,22.128068126460086,Entregue,,2037.67
PED-100154,2026-02-03 21:47:00,Cliente 147,Filial Curitiba - HQ,Médio,2199.81,436.1,9.4,6.850018787371056,Entregue,,2071.15
PED-100155,2026-03-30 07:44:00,Cliente 87,Filial São Paulo,Médio,3725.69,511.3,18.0,16.91789944794359,Entregue,,1412.39
PED-100156,2026-04-27 00:15:00,Cliente 15,Filial Curitiba - HQ,Médio,3851.04,707.4,43.6,51.18034803640333,Atrasado,Atraso no Carregamento,2001.89
PED-100157,2026-03-10 21:28:00,Cliente 123,Filial São Paulo,Médio,1743.68,930.1,47.7,47.09932350615775,Entregue,,1053.27
PED-100158,2026-03-17 15:50:00,Cliente 121,Filial São Paulo,Semipesado,6633.45,171.6,20.8,32.131014872916126,Atrasado,Trânsito Intenso,1435.66
PED-100159,2026-03-27 13:27:00,Cliente 78,Filial Campo Largo,Médio,4180.75,965.1,8.8,7.015158190683792,Entregue,,1301.32
PED-100160,2026-03-10 14:48:00,Cliente 66,Filial Paranaguá,Leve (VUC),6567.49,735.9,14.5,13.696068262153538,Entregue,,1121.51
PED-100161,2026-04-04 13:51:00,Cliente 39,Filial Paranaguá,Médio,0.0,1177.3,27.0,,Cancelado,Avarias no Veículo,868.0
PED-100162,2026-05-24 15:20:00,Cliente 18,Filial Campo Largo,Semipesado,1706.35,784.9,27.9,35.6691079974488,Atrasado,Trânsito Intenso,419.69
PED-100163,2026-02-08 03:32:00,Cliente 21,Filial Paranaguá,Leve (VUC),626.12,862.1,30.6,28.286718331801886,Entregue,,1616.55
PED-100164,2026-04-11 22:57:00,Cliente 27,Filial Campo Largo,Leve (VUC),1157.05,242.3,40.3,40.68407163247748,Entregue,,1704.41
PED-100165,2026-01-10 21:04:00,Cliente 2,Filial Curitiba - HQ,Médio,0.0,924.9,34.4,,Cancelado,Cancelado pelo Cliente,1141.23
PED-100166,2026-04-10 01:51:00,Cliente 97,Filial São Paulo,Médio,1051.99,104.3,13.3,11.931438972654263,Entregue,,2932.36
PED-100167,2026-05-18 18:57:00,Cliente 39,Filial Paranaguá,Semipesado,6778.16,791.3,19.6,17.31579590824611,Entregue,,1759.49
PED-100168,2026-04-06 00:55:00,Cliente 56,Filial Paranaguá,Leve (VUC),6880.07,76.1,40.5,39.92259069017594,Entregue,,2689.23
PED-100169,2026-03-10 12:03:00,Cliente 107,Filial Curitiba - HQ,Leve (VUC),7061.54,147.1,30.8,39.565031132264316,Atrasado,Atraso no Carregamento,1796.24
PED-100170,2026-01-16 23:15:00,Cliente 127,Filial Curitiba - HQ,Semipesado,7219.03,138.4,8.8,17.080585590286066,Atrasado,Problema Mecânico,731.76
PED-100171,2026-01-02 16:27:00,Cliente 13,Filial Paranaguá,Médio,3942.85,72.5,16.3,14.920375862951143,Entregue,,2928.94
PED-100172,2026-05-08 19:23:00,Cliente 126,Filial Paranaguá,Pesado (Tratocaminhão),4210.17,392.2,38.2,35.65691043501222,Entregue,,2678.94
PED-100173,2026-05-20 17:34:00,Cliente 56,Filial Campo Largo,Pesado (Tratocaminhão),1415.81,1193.3,9.1,6.938215653232417,Entregue,,1519.57
PED-100174,2026-05-04 00:32:00,Cliente 28,Filial Campo Largo,Leve (VUC),1459.36,424.4,33.5,32.164148394335115,Entregue,,880.56
PED-100175,2026-04-11 11:02:00,Cliente 64,Filial Paranaguá,Leve (VUC),5909.3,915.3,27.5,24.565065477504625,Entregue,,823.47
